OriginalNames,InterpretedNames,MetaNetX,CHEBI,HMDB,SwissLipids,VMH,InChIkey,InChIkey2D,SampleType,Platform
Free carnitine,(R)-carnitine,MNXM1105737,16347,HMDB0000062,,,PHIQHXFUZVPYII-ZCFIWIBFSA-N,PHIQHXFUZVPYII,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Acetylcarnitine,O-acetyl-(R)-carnitine,MNXM1377545,57589,HMDB0000201,SLM:000390028,acrn,RDHQFKQIGNGIED-MRVPVSSYSA-N,RDHQFKQIGNGIED,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Propionylcarnitine,O-propanoyl-(R)-carnitine,MNXM1105887,53210,HMDB0000824,SLM:000390084,HC02149,UFAHZIUFPNSHSL-MRVPVSSYSA-N,UFAHZIUFPNSHSL,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Butyrylcarnitine,O-butanoyl-(R)-carnitine,MNXM65151,21949,HMDB0002013,SLM:000390085,c4crn,QWYFHHGCZUCMBN-SECBINFHSA-N,QWYFHHGCZUCMBN,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Isobutyrylcarnitine,O-isobutanoyl-(R)-carnitine,MNXM1106130,84838,HMDB0000736,SLM:000390087,,LRCNOZRCYBNMEP-SECBINFHSA-N,LRCNOZRCYBNMEP,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
3-Hydroxybutyrylcarnitine,3-Hydroxybutyrylcarnitine,MNXM1363519,,HMDB0013127,,,UEFRDQSMQXDWTO-BDAKNGLRSA-N,UEFRDQSMQXDWTO,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Succinylcarnitine (C4-DC),succinyl-L-carnitine,MNXM729944,189712,HMDB0061717,,,HAEVNYBCYZZDFL-MRVPVSSYSA-N,HAEVNYBCYZZDFL,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Isovalerylcarnitine (3-Methylbutyrylcarnitine),O-3-methylbutanoyl-(R)-carnitine,MNXM1101229,70819,HMDB0000688,SLM:000390086,ivcrn,IGQBPDJNUXPEMT-SNVBAGLBSA-N,IGQBPDJNUXPEMT,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
2-Methylbutyrylcarnitine,,,,,,,,,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
3-Hydroxybutyrylcarnitine,3-Hydroxybutyrylcarnitine,MNXM1363519,,HMDB0013127,,,UEFRDQSMQXDWTO-BDAKNGLRSA-N,UEFRDQSMQXDWTO,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Isovaleryl-/2-Methylbutyrylcarnitine + 3-OH-iso-/butyrylcarnitine,,,,,,,,,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Tiglylcarnitine,O-tiglyl-L-carnitine,MNXM729947,85520,HMDB0002366,,,WURBQCVBQNMUQT-OLKPEBQYSA-N,WURBQCVBQNMUQT,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
3-Hydroxyvalerylcarnitine,3-Hydroxyvalerylcarnitine,MNXM1475366,,HMDB0241654,,,SHDVOJJCEZGPBX-UHFFFAOYSA-N,SHDVOJJCEZGPBX,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Glutarylcarnitine,O-glutaroyl-L-carnitine,MNXM1363510,82952,HMDB0013130,,,NXJAXUYOQLTISD-SECBINFHSA-N,NXJAXUYOQLTISD,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
3-OH-decenoylcarnitine + Glutarylcarnitine,,,,,,,,,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Hexanoylcarnitine,O-hexanoyl-(R)-carnitine,MNXM56437,84834,HMDB0000705,SLM:000390083,c6crn,VVPRQWTYSNDTEA-LLVKDONJSA-N,VVPRQWTYSNDTEA,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Hexenoylcarnitine,Hexenoylcarnitine,MNXM1480439,,HMDB0253155,,,JNTUUFYYQOWHEZ-UHFFFAOYSA-N,JNTUUFYYQOWHEZ,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
3-Hydroxy-hexanoylcarnitine,3-Hydroxyhexanoylcarnitine,MNXM1363520,,HMDB0013131,,,VYEONLJQPYRKAN-WDEREUQCSA-N,VYEONLJQPYRKAN,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Adipylcarnitine,O-adipoyl-L-carnitine,MNXM1363911,86507,HMDB0061677,,c6dc,BSVHAXJKBCWVDA-SNVBAGLBSA-N,BSVHAXJKBCWVDA,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Octanoylcarnitine,O-octanoyl-(R)-carnitine,MNXM1378314,18102,HMDB0000791,SLM:000389981,HC01007,CXTATJFJDMJMIY-CYBMUJFWSA-N,CXTATJFJDMJMIY,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Malonylcarnitine,O-malonyl-L-carnitine,MNXM1364489,85470,HMDB0002095,,,ZGNBLKBZJBJFDG-SSDOTTSWSA-N,ZGNBLKBZJBJFDG,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Hydroxyoctanoylcarnitine,3S-hydroxyoctanoylcarnitine,MNXM150923,84100,HMDB0061634,,,LUBMSOHGUAAXAM-QWHCGFSZSA-N,LUBMSOHGUAAXAM,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Hydroxyoctanoylcarnitine +Malonylcarnitine,,,,,,,,,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Decanoylcarnitine,O-decanoyl-(R)-carnitine,MNXM1103533,28717,HMDB0000651,SLM:000390017,c10crn,LZOSYCMHQXPBFU-OAHLLOKOSA-N,LZOSYCMHQXPBFU,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Decenoylcarnitine,Decenoylcarnitine,MNXM1479498,,HMDB0250918,,,RFZSTXLXYYWMQV-UHFFFAOYSA-N,RFZSTXLXYYWMQV,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Decadienoylcarnitine,"(2E,4Z)-decadienoylcarnitine",MNXM1371792,,HMDB0013325,,,URTBCBICNCMCPB-CWUOWYQYSA-N,URTBCBICNCMCPB,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Lauroylcarnitine,O-dodecanoyl-R-carnitine,MNXM731396,77086,HMDB0002250,SLM:000389983,M01729,FUJLYHJROOYKRA-QGZVFWFLSA-N,FUJLYHJROOYKRA,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
3-Hydroxylauroylcarnitine,3-hydroxydodecanoylcarnitine,MNXM150910,73056,HMDB0061638,,3ddcrn,ULWDPUHFMOBGFJ-UHFFFAOYSA-N,ULWDPUHFMOBGFJ,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Myristoylcarnitine,O-tetradecanoyl-(R)-carnitine,MNXM83844,84634,HMDB0005066,SLM:000390018,M02973,PSHXNVGSVNEJBD-LJQANCHMSA-N,PSHXNVGSVNEJBD,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Tetradecenoylcarnitine,Tetradecenoylcarnitine,MNXM1483127,,HMDB0258884,,,JPZLYVBUZGYFKZ-UHFFFAOYSA-N,JPZLYVBUZGYFKZ,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Tetradecadienoylcarnitine,"(5Z,8Z)-tetradecadienoylcarnitine",MNXM149491,73059,HMDB0240756,,,REUVFPFCXKWJQA-UTJQPWESSA-N,REUVFPFCXKWJQA,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
3-Hydroxy-tetradecanoylcarnitine,3-hydroxytetradecanoylcarnitine,MNXM150929,73063,HMDB0061640,,3tdcrn,GFAZJTUXMHGTOC-UHFFFAOYSA-N,GFAZJTUXMHGTOC,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Hexadecanoylcarnitine,O-hexadecanoyl-(R)-carnitine,MNXM1378302,17490,HMDB0000222,SLM:000001044,hdcecrn,XOMRRQXKHMYMOC-OAQYLSRUSA-N,XOMRRQXKHMYMOC,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
3-Hydroxy-hexadecanoylcarnitine,3S-hydroxyhexadecanoylcarnitine,MNXM1363534,73070,HMDB0013336,,,XKAZIAFZAQAHHG-LEWJYISDSA-N,XKAZIAFZAQAHHG,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Octadecanoylcarnitine,O-octadecanoyl-(R)-carnitine,MNXM1104916,84644,HMDB0000848,SLM:000390019,octdececrn,FNPHNLNTJNMAEE-HSZRJFAPSA-N,FNPHNLNTJNMAEE,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Octadecenoylcarnitine,O-(2-octadecenoyl)carnitine,MNXM588217,91164,HMDB0094687,,,YIGBMCKQXUEBKC-UHFFFAOYSA-N,YIGBMCKQXUEBKC,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Octadecadienylcarnitine,Octadecadienylcarnitine,MNXM1481659,,HMDB0255895,,,RHIDLCOXTYRESP-UHFFFAOYSA-N,RHIDLCOXTYRESP,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
3-OH-octadecanoylcarnitine,3-hydroxyoctadecanoylcarnitine,MNXM150922,73077,HMDB0240769,,3octdeccrn,PWZJXSPDNGIODC-UHFFFAOYSA-N,PWZJXSPDNGIODC,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
3-OH-octadecenoylcarnitine,,,,,,,,,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
3-OH-octadecadienoylcarnitine,O-linoleoylcarnitine,MNXM158915,73072,HMDB0240780,,,MJLXQSQYKZWZCB-UTJQPWESSA-N,MJLXQSQYKZWZCB,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Benzoylcarnitine,benzoylcarnitine,MNXM1130070,229876,HMDB0240664,,,AWUHAZDZHNWQAG-GFCCVEGCSA-N,AWUHAZDZHNWQAG,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
Phenylacetylcarnitine,,,,,,,,,serum,"Flow Injection ,Sciex 5500+ ESI-tripleQ"
