DiseaseName,AlternativeNames,modeOfInheritance,IEMbaseNosologyCode,ICIMDNosologyGroup,ICIMDGroup,DCSPatientNumber
Hypoxanthine guanine phosphoribosyltransferase deficiency,"Lesch-Nyhan syndrome, Kelley-Seegmiller syndrome",X-linked-R (XLR),IEM0017,Disorders of purine metabolism,Metabolism of heterocyclic compounds,5 - 10
Guanidinoacetate methyltransferase deficiency,Cerebral creatine deficiency syndrome type 2,Autosomal Recessive,IEM0044,Disorders of creatine metabolism,Intermediary metabolism: Energy,5 - 10
Creatine transporter deficiency,"Cerebral creatine deficiency syndrome type 1, X-linked creatine deficiency syndrome",X-linked,IEM0045,Disorders of creatine metabolism,Intermediary metabolism: Energy,15 - 20
Carbamoyl phosphate synthetase I deficiency,"CPS1 deficiency, Carbamyl phosphate synthetase deficiency",Autosomal Recessive,IEM0057,Urea cycle disorders and inherited hyperammonemias,Intermediary metabolism: Nutrients,10 - 15
Ornithine transcarbamylase deficiency,"Ornithine carbamoyltransferase deficiency, Ornithine carbamyl transferase deficiency",X-linked,IEM0058,Urea cycle disorders and inherited hyperammonemias,Intermediary metabolism: Nutrients,10 - 15
Argininosuccinate synthetase deficiency,"Citrullinemia type I, Classical citrullinemia",Autosomal Recessive,IEM0059,Urea cycle disorders and inherited hyperammonemias,Intermediary metabolism: Nutrients,10 - 15
Argininosuccinate lyase deficiency,"Argininosuccinase deficiency, Argininosuccinic aciduria",Autosomal Recessive,IEM0060,Urea cycle disorders and inherited hyperammonemias,Intermediary metabolism: Nutrients,5 - 10
Arginase 1 deficiency,"Argininemia, Hyperargininemia",Autosomal Recessive,IEM0061,Urea cycle disorders and inherited hyperammonemias,Intermediary metabolism: Nutrients,15 - 20
Mitochondrial ornithine transporter deficiency,"Hyperammonemia-hyperornithinemia-homocitrullinuria (HHH) syndrome, Ornithine translocase deficiency",Autosomal Recessive,IEM0062,Urea cycle disorders and inherited hyperammonemias,Intermediary metabolism: Nutrients,10 - 15
Citrin deficiency,Citrullinemia type II,Autosomal Recessive,IEM0063,Urea cycle disorders and inherited hyperammonemias,Intermediary metabolism: Nutrients,15 - 20
