Name,AlternativeNames,DiseaseAbbreviation,Treatable_,PrevalenceSource,ModeofInheritance,IEMNosologyCode,OMIM,GeneSymbol,ProteinName,HGNCGeneSymbol,NCBIGene,GeneCards,UniProt,KEGG,EstimatedPatientNumber,TestPanel,TestPanelGroup,MetaboliteName,SampleType,Highlighted,IEMbaseHMDB,InterpretedNames,MetaNetX,CHEBI,HMDB,SwissLipids,VMH,InChIkey,InChIkey2D,Neonatal_birth_1mth_,Infancy_1_18mths_,Childhood_1_5_11yrs_,Adolescence_11_16yrs_,Adulthood__16yrs_,Lab3Global,Lab3Targeted,Lab4Global,Lab4Targeted,Lab5Global,Lab5Targeted,Lab1Targeted,Lab1Global,Lab2Targeted,Lab2Global,Lab6Targeted,Lab7Global,Lab6Global,icimdGene,VMHGene,VMHMetabolite,recon4IMDsampleType,anyTargetedPlatform,anyGlobalPlatform,modellable,feasible,feasiblityScore
Phenylalanine hydroxylase deficiency,Phenylketonuria,PKU,yes,ORPHA,Autosomal Recessive,IEM0082,261600,PAH,Phenylalanine hydroxylase,PAH,5053,PAH,,hsa:5053,10 - 15,Amino acids,Amino acids,Phenylalanine,Cerebrospinal Fluid,1,HMDB00159,L-phenylalanine,MNXM741664,17295,HMDB0000159,,phe_L,COLNVLDHVKWLRT-QMMMGPOBSA-N,COLNVLDHVKWLRT,3,3,3,3,3,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0.5,1,0,3.5
Phenylalanine hydroxylase deficiency,Phenylketonuria,PKU,yes,ORPHA,Autosomal Recessive,IEM0082,261600,PAH,Phenylalanine hydroxylase,PAH,5053,PAH,,hsa:5053,10 - 15,Amino acids,Amino acids,Phenylalanine,Plasma,1,HMDB00159,L-phenylalanine,MNXM741664,17295,HMDB0000159,,phe_L,COLNVLDHVKWLRT-QMMMGPOBSA-N,COLNVLDHVKWLRT,3,3,3,3,3,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0.5,1,1,4.5
Phenylalanine hydroxylase deficiency,Phenylketonuria,PKU,yes,ORPHA,Autosomal Recessive,IEM0082,261600,PAH,Phenylalanine hydroxylase,PAH,5053,PAH,,hsa:5053,10 - 15,Biogenic amines,Biogenic amines,5-Hydroxyindoleacetic acid,Cerebrospinal Fluid,0,HMDB0000763,(5-hydroxyindol-3-yl)acetate,MNXM732179,27823,HMDB0000763,,5hoxindoa,DUUGKQCEGZLZNO-UHFFFAOYSA-M,DUUGKQCEGZLZNO,0,-0.5,-0.5,-1,-1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0.5,1,0,3.5
Phenylalanine hydroxylase deficiency,Phenylketonuria,PKU,yes,ORPHA,Autosomal Recessive,IEM0082,261600,PAH,Phenylalanine hydroxylase,PAH,5053,PAH,,hsa:5053,10 - 15,Biogenic amines,Organic acids,Homovanillic acid,Cerebrospinal Fluid,0,HMDB0000118,homovanillate,MNXM3287,133744,HMDB0000118,,homoval,QRMZSPFSDQBLIX-UHFFFAOYSA-M,QRMZSPFSDQBLIX,0,-0.5,-0.5,-1,-1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0.5,1,0,3.5
Phenylalanine hydroxylase deficiency,Phenylketonuria,PKU,yes,ORPHA,Autosomal Recessive,IEM0082,261600,PAH,Phenylalanine hydroxylase,PAH,5053,PAH,,hsa:5053,10 - 15,Organic acids,Organic acids,Phenylpyruvic acid,Urine,1,HMDB00205,3-phenylpyruvate,MNXM730221,18005,HMDB0000205,,phpyr,BTNMPGBKDVTSJY-UHFFFAOYSA-M,BTNMPGBKDVTSJY,0.5,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0.5,1,1,4.5
Phenylalanine hydroxylase deficiency,Phenylketonuria,PKU,yes,ORPHA,Autosomal Recessive,IEM0082,261600,PAH,Phenylalanine hydroxylase,PAH,5053,PAH,,hsa:5053,10 - 15,Pterins,Pterins,"Tetrahydrobiopterin, BH4 test",,1,HMDB0000027,"(6R)-L-erythro-5,6,7,8-tetrahydrobiopterin",MNXM1365611,59560,HMDB0000027,,thbpt,FNKQXYHWGSIFBK-RPDRRWSUSA-N,FNKQXYHWGSIFBK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,3
Phenylalanine hydroxylase deficiency,Phenylketonuria,PKU,yes,ORPHA,Autosomal Recessive,IEM0082,261600,PAH,Phenylalanine hydroxylase,PAH,5053,PAH,,hsa:5053,10 - 15,Pterins,Pterins,Biopterin,Urine,0,HMDB00468,L-erythro-biopterin,MNXM1364185,15373,HMDB0000468,,,LHQIJBMDNUYRAM-DZSWIPIPSA-N,LHQIJBMDNUYRAM,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0.5,0,0,3.5
Phenylalanine hydroxylase deficiency,Phenylketonuria,PKU,yes,ORPHA,Autosomal Recessive,IEM0082,261600,PAH,Phenylalanine hydroxylase,PAH,5053,PAH,,hsa:5053,10 - 15,Pterins,Pterins,Neopterin,Urine,0,HMDB00845,D-erythro-neopterin,MNXM1364142,,HMDB0000838,,,BMQYVXCPAOLZOK-UHFFFAOYSA-N,BMQYVXCPAOLZOK,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0.5,0,0,3.5
Autosomal recessive GTP cyclohydrolase 1 deficiency,,GTPCH,yes,ORPHA,Autosomal Recessive,IEM0083,233910,GCH1,GTP cyclohydrolase I,GCH1,2643,GCH1,,hsa:2643,15 - 20,Amino acids,Amino acids,Phenylalanine,Plasma,1,HMDB00159,L-phenylalanine,MNXM741664,17295,HMDB0000159,,phe_L,COLNVLDHVKWLRT-QMMMGPOBSA-N,COLNVLDHVKWLRT,0.5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0.5,1,1,4.5
Autosomal recessive GTP cyclohydrolase 1 deficiency,,GTPCH,yes,ORPHA,Autosomal Recessive,IEM0083,233910,GCH1,GTP cyclohydrolase I,GCH1,2643,GCH1,,hsa:2643,15 - 20,Amino acids,Amino acids,Phenylalanine,Cerebrospinal Fluid,0,HMDB00159,L-phenylalanine,MNXM741664,17295,HMDB0000159,,phe_L,COLNVLDHVKWLRT-QMMMGPOBSA-N,COLNVLDHVKWLRT,0.5,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0.5,1,0,3.5
