IEMbaseNames,IEMNosologyCode,ICIMDNosologyGroup,HCP_1,HCP_2,HCP_3,HCP_4,HCP_5,HCP_6,HCP_7,HCP_8,HCP_9,HCP_10,HCP_11,HCP_12,HCP_13,HCP_14,HCP_15,HCP_16,HCP_17,HCP_18,HCP_19,HCP_20,HCP_21,HCP_22,HCP_23,HCP_24
Hypoxanthine guanine phosphoribosyltransferase deficiency,IEM0017,Disorders of purine metabolism,0,0,0,0,1,1,5,1,2,0,0,0,0,0,0,0,0,1,1,2,0,1,1,4
Guanidinoacetate methyltransferase deficiency,IEM0044,Disorders of creatine metabolism,0,0,3,1,0,0,3,2,0,1,2,3,1,3,0,0,3,2,1,4,0,1,0,0
Creatine transporter deficiency,IEM0045,Disorders of creatine metabolism,0,0,6,1,0,0,6,1,3,1,0,0,0,0,0,0,0,1,0,4,1,1,0,0
Carbamoyl phosphate synthetase I deficiency,IEM0057,Urea cycle disorders and inherited hyperammonemias,0,1,0,0,0,0,3,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1
Ornithine transcarbamylase deficiency,IEM0058,Urea cycle disorders and inherited hyperammonemias,1,0,16,10,1,0,34,8,10,0,1,8,7,7,34,1,2,7,2,18,0,10,1,11
Argininosuccinate synthetase deficiency,IEM0059,Urea cycle disorders and inherited hyperammonemias,0,0,4,0,0,0,7,2,1,1,0,6,4,1,13,1,1,0,3,6,1,3,0,0
Argininosuccinate lyase deficiency,IEM0060,Urea cycle disorders and inherited hyperammonemias,0,0,2,3,2,0,0,6,4,1,0,2,2,6,16,2,4,3,2,4,0,2,1,2
Arginase 1 deficiency,IEM0061,Urea cycle disorders and inherited hyperammonemias,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,4,1,0,0,0,1,1,0
Mitochondrial ornithine transporter deficiency,IEM0062,Urea cycle disorders and inherited hyperammonemias,1,0,1,1,0,0,1,0,0,1,0,0,0,2,7,0,0,1,0,0,1,1,0,0
Citrin deficiency,IEM0063,Urea cycle disorders and inherited hyperammonemias,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,1,1,2,0,1,2,1,0
Hartnup disorder,IEM0065,Disorders of amino acid transport,1,2,4,0,0,1,8,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0
Cystinuria type A,IEM0068,Disorders of amino acid transport,0,1,3,0,0,10,36,4,9,1,4,9,0,0,1,0,0,0,1,0,0,5,0,0
Lysinuric protein intolerance,IEM0070,Disorders of amino acid transport,0,0,1,0,0,0,3,4,3,0,0,1,0,1,7,1,1,2,1,3,0,2,0,3
Aspartoacylase deficiency,IEM0074,Disorders of glutamate/glutamine and aspartate/asparagine metabolism,0,0,0,0,2,1,2,0,0,0,1,0,0,0,3,1,1,0,0,1,0,2,1,2
Tyrosine hydroxylase deficiency,IEM0076,Monoamine neurotransmission,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,2,1,0,6
Dopamine transporter deficiency,IEM0080,Monoamine neurotransmission,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,1,1,1,0,2,0,1
Phenylalanine hydroxylase deficiency,IEM0082,Disorders of phenylalanine and tyrosine metabolism,0,0,176,114,8,0,486,61,81,6,111,149,446,250,97,0,39,112,15,210,114,114,6,127
Autosomal dominant GTP cyclohydrolase 1 deficiency,IEM0084,Disorders of tetrahydrobiopterin metabolism,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,2,2,0,7
6-Pyruvoyl-tetrahydropterin synthase deficiency,IEM0085,Disorders of tetrahydrobiopterin metabolism,0,0,0,0,0,0,8,0,4,0,1,0,6,2,1,2,2,1,0,0,0,2,0,2
Dihydropteridine reductase deficiency,IEM0087,Disorders of tetrahydrobiopterin metabolism,1,0,0,0,0,0,3,2,0,0,0,0,1,2,0,1,1,2,0,0,0,0,0,1
Tyrosine aminotransferase deficiency,IEM0091,Disorders of phenylalanine and tyrosine metabolism,5,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,16,1,0,0,3,2,0,0
Homogentisic acid oxidase deficiency,IEM0094,Disorders of phenylalanine and tyrosine metabolism,0,0,2,0,0,1,12,4,0,1,0,10,6,5,0,0,0,0,0,10,0,4,1,22
Fumarylacetoacetase deficiency,IEM0096,Disorders of phenylalanine and tyrosine metabolism,0,0,5,4,1,0,16,0,0,8,1,7,1,4,7,12,1,5,0,5,5,4,0,5
Methionine adenosyltransferase I-III deficiency,IEM0097,Disorders of the metabolism of sulfur-containing amino acids and hydrogen sulfide,1,0,1,0,0,10,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
Cystathionine beta-synthase deficiency,IEM0102,Disorders of the metabolism of sulfur-containing amino acids and hydrogen sulfide,0,0,1,6,3,0,0,3,19,0,1,0,41,0,4,2,1,4,2,7,0,7,1,9
Cystathionine gamma-lyase deficiency,IEM0103,Disorders of the metabolism of sulfur-containing amino acids and hydrogen sulfide,0,0,0,0,0,1,41,0,2,0,2,0,0,1,0,0,2,0,0,0,0,3,3,0
Branched-chain ketoacid dehydrogenase E1 alpha deficiency,IEM0108,Disorders of branched-chain amino acid metabolism,0,0,0,0,0,0,9,0,3,0,0,1,13,0,14,0,6,0,3,5,0,3,0,7
Branched-chain ketoacid dehydrogenase E1 beta deficiency,IEM0109,Disorders of branched-chain amino acid metabolism,0,0,0,0,0,0,0,0,6,0,1,1,0,0,1,0,2,2,0,2,0,0,0,0
