VmhNames,MetNames,MetaNetX,CHEBI,HMDB,SwissLipids,VMH,InChIkey,InChIkey2D
10fthf,(6R)-10-formyltetrahydrofolate,MNXM1364558,195366,HMDB0000972,,10fthf,AUFGTPPARQZWDO-YPMHNXCESA-L,AUFGTPPARQZWDO
10fthf5glu,10-formyltetrahydrofolate-[Glu](5),MNXM3428,,,,10fthf5glu,RGSLBOWMZCMTRA-UHFFFAOYSA-H,RGSLBOWMZCMTRA
10fthf6glu,10-formyltetrahydrofolate-[Glu](6),MNXM3429,,,,10fthf6glu,SFFBEUFYOPMKMV-CWMPVMSNSA-G,SFFBEUFYOPMKMV
10fthf7glu,10-formyltetrahydrofolate-[Glu](7),MNXM5422,,,,10fthf7glu,VTHHVZBTNSHUDD-UHFFFAOYSA-F,VTHHVZBTNSHUDD
11_cis_retfa,fatty acid 11-cis-retinol,MNXM1546944,,,,11_cis_retfa,,
11docrtsl,11-deoxycortisol,MNXM1375296,28324,HMDB0000015,SLM:000485328,11docrtsl,WHBHBVVOGNECLV-OBQKJFGGSA-N,WHBHBVVOGNECLV
11docrtstrn,21-hydroxyprogesterone,MNXM1370137,16973,HMDB0000016,SLM:000485330,11docrtstrn,ZESRJSPZRDMNHY-YFWFAHHUSA-N,ZESRJSPZRDMNHY
12dgr120,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",MNXM4939,,,,12dgr120,OQQOAWVKVDAJOI-UHFFFAOYSA-N,OQQOAWVKVDAJOI
12dhchol,12-Dehydrocholate,MNXM1546954,,,,12dhchol,,
12harachd,"(12S)-hydroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate",MNXM1371121,90680,HMDB0004698,SLM:000501336,12harachd,ZNHVWPKMFKADKW-LQWMCKPYSA-M,ZNHVWPKMFKADKW
12HPET,"(12S)-hydroperoxy-(5Z,8Z,10E,14Z)-eicosatetraenoate",MNXM1371124,57444,,SLM:000000961,12HPET,ZIOZYRSDNLNNNJ-LQWMCKPYSA-M,ZIOZYRSDNLNNNJ
12htacr,"12-HT or M-VI, 12-hydroxy tacrolimus",MNXM1529716,,,,12htacr,ODUXJSOTFOZOFQ-VAOKGETKSA-N,ODUXJSOTFOZOFQ
